Mid,Players,Hero_pic,Level_hero,KDA,Hero_items,Hero_gold,LH_DN,GPM_XPM,NW,status,T1score,T2score
371335,JT-,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/enigma_full.png,22,3/5/5,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/refresher_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/necronomicon_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sphere_lg.png']",1046,378/47,515/447,20986.0,,,
371335,Emo,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/invoker_full.png,27,11/3/8,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bloodthorn_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sheepstick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/travel_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aeon_disk_lg.png']",4064,441/16,685/817,30624.0,,,
371335,flyfly,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/dragon_knight_full.png,27,6/6/10,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/silver_edge_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/assault_lg.png']",4281,350/12,533/857,22746.0,,,
371335,kaka,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/earth_spirit_full.png,18,1/10/12,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/spirit_vessel_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ghost_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/heavens_halberd_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",483,112/4,248/325,9413.0,,,
371335,Oli~,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/oracle_full.png,18,2/7/14,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png']",1447,23/2,231/315,7437.0,,,
371335,Sylar,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/terrorblade_full.png,25,11/3/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/satanic_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/manta_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dragon_lance_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/silver_edge_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/demon_edge_lg.png']",6495,561/7,693/644,30285.0,,,
371335,NothingToSay,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/puck_full.png,24,3/7/18,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aeon_disk_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gem_lg.png']",2628,289/7,465/580,16393.0,,,
371335,Faith_bian,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bristleback_full.png,27,12/4/12,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/soul_ring_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/abyssal_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/heavens_halberd_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/assault_lg.png']",4675,396/1,567/798,26180.0,,,
371335,XinQ,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/shadow_demon_full.png,20,3/3/16,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aeon_disk_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png']",1763,107/3,296/400,11033.0,,,
371335,y`,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/jakiro_full.png,21,2/6/19,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/urn_of_shadows_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/force_staff_lg.png']",1718,85/0,258/437,8713.0,,,
370731,Bignum,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/phoenix_full.png,21,6/5/18,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/glimmer_cape_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/shivas_guard_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",3089,89/4,349/550,11814.0,,,
370731,Pikachu,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/ember_spirit_full.png,24,15/4/18,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/radiance_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blade_mail_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/shivas_guard_lg.png']",627,259/9,556/688,19242.0,,,
370731,Lasthero-,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/dragon_knight_full.png,22,2/5/22,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/platemail_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png']",1847,165/8,368/575,12147.0,,,
370731,HappyDyurara,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/disruptor_full.png,18,5/15/19,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ghost_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png']",541,27/3,249/396,3916.0,,,
370731,Palantimos,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/faceless_void_full.png,25,6/0/20,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/diffusal_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/manta_lg.png']",2312,280/5,502/761,18637.0,,,
370731,VANSKOR,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/tusk_full.png,15,2/11/14,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png']",2021,36/4,224/302,4156.0,,,
370731,19teen.,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/razor_full.png,22,6/8/7,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sange_and_yasha_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",330,253/14,477/600,13655.0,,,
370731,633,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/weaver_full.png,22,6/8/19,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/medallion_of_courage_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/spirit_vessel_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gem_lg.png']",1360,175/15,405/593,12025.0,,,
370731,illusion,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/rubick_full.png,21,5/4/12,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/point_booster_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_basilius_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png']",3320,83/3,316/541,10795.0,,,
370731,Zitraks,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/gyrocopter_full.png,23,10/5/8,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/butterfly_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/lifesteal_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",2992,329/7,574/668,19357.0,,,
371470,Fezor,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Rvze,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Kiritych~,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Petru44o,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,airu,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Gatciy,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Otaker,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Damaroo,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,ck,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371470,Vicoros,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,V-Tune,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,ALWAYSWANNAFLY,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,Iceberg,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,ALOHADANCE,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,GeneRaL,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,dyrachyo,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,Misha,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,Ergon,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,Immersion,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371022,0LD_A,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371312,Shergarat,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/death_prophet_full.png,8,4/1/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/staff_of_wizardry_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/void_stone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png']",175,64/9,395/358,4850.0,,,
371312,Bombad1l,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/storm_spirit_full.png,12,2/0/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/circlet_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/infused_raindrop_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png']",401,101/9,446/658,5426.0,,,
371312,y0nd,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/grimstroke_full.png,7,0/1/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",421,16/2,179/258,2431.0,,,
371312,StoneBank**,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/weaver_full.png,8,1/3/4,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_basilius_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/javelin_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",162,63/10,345/329,4137.0,,,
371312,tv/heykekos,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/lich_full.png,7,3/2/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png']",108,12/0,215/265,1588.0,,,
371312,Fervian,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/keeper_of_the_light_full.png,6,0/2/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tango_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/headdress_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png']",80,7/0,149/187,1740.0,,,
371312,mellojul,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/puck_full.png,10,2/1/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",1217,69/9,373/500,4802.0,,,
371312,TheChosenOne,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/void_spirit_full.png,8,2/4/4,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/urn_of_shadows_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png']",501,43/11,288/327,3431.0,,,
371312,Astral,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/shadow_demon_full.png,8,3/2/7,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_basilius_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/infused_raindrop_lg.png']",82,11/2,242/317,2432.0,,,
371312,nefrit,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bristleback_full.png,11,0/1/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/hood_of_defiance_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",272,129/2,490/552,5812.0,,,
371004,N0tail,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,SumaiL-,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,midone,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,Ceb,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,Saksa,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,iNSaNiA,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,qojqva,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,m`iCKe,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,Boxi,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371004,Taiga,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,Dread,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,UnderShock,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,goddam,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,BarabaNN,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,NS,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,nofear,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,Времявникуда,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,Stormstormer,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,nongrata`,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371469,Fishman,,0,0/0/0,[],600,0/0,0/0,0.0,,,
371241,`Accelgd,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/keeper_of_the_light_full.png,15,1/7/17,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/headdress_lg.png']",1435,50/4,260/353,5925.0,,,
